trial,condition,backend,L_over_E,P_exact,P_measured,counts_0,counts_1,shots
1,raw,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0045,1991,9,2000
1,mitigated,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0025,1995,5,2000
1,raw,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.4025,1195,805,2000
1,mitigated,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.39,1220,780,2000
1,raw,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.9535,93,1907,2000
1,mitigated,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.954,92,1908,2000
1,raw,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.718,564,1436,2000
1,mitigated,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.709,582,1418,2000
1,raw,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.089,1822,178,2000
1,mitigated,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.086,1828,172,2000
1,raw,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.125,1750,250,2000
1,mitigated,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.1355,1729,271,2000
1,raw,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.766,468,1532,2000
1,mitigated,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.773,454,1546,2000
1,raw,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.927,146,1854,2000
1,mitigated,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.9265,147,1853,2000
1,raw,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.347,1306,694,2000
1,mitigated,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.3185,1363,637,2000
1,raw,ibm_marrakesh,2000.0,0.004441885743635534,0.006,1988,12,2000
1,mitigated,ibm_marrakesh,2000.0,0.004441885743635534,0.007,1986,14,2000
2,raw,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0055,1989,11,2000
2,mitigated,ibm_marrakesh,0.1,1.0045168625039631e-07,0.004,1992,8,2000
2,raw,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.4125,1175,825,2000
2,mitigated,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.3955,1209,791,2000
2,raw,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.955,90,1910,2000
2,mitigated,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.959,82,1918,2000
2,raw,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.706,588,1412,2000
2,mitigated,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.7055,589,1411,2000
2,raw,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.0995,1801,199,2000
2,mitigated,ibm_marrakesh,888.9444444444445,0.09812498024415298,0.1015,1797,203,2000
2,raw,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.132,1736,264,2000
2,mitigated,ibm_marrakesh,1111.1555555555556,0.14146982549716494,0.119,1762,238,2000
2,raw,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.761,478,1522,2000
2,mitigated,ibm_marrakesh,1333.3666666666666,0.7848494115516556,0.7605,479,1521,2000
2,raw,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.923,154,1846,2000
2,mitigated,ibm_marrakesh,1555.5777777777776,0.9461984742345614,0.9305,139,1861,2000
2,raw,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.3435,1313,687,2000
2,mitigated,ibm_marrakesh,1777.7888888888888,0.35415276774081245,0.329,1342,658,2000
2,raw,ibm_marrakesh,2000.0,0.004441885743635534,0.0075,1985,15,2000
2,mitigated,ibm_marrakesh,2000.0,0.004441885743635534,0.0045,1991,9,2000
3,raw,ibm_marrakesh,0.1,1.0045168625039631e-07,0.005,1990,10,2000
3,mitigated,ibm_marrakesh,0.1,1.0045168625039631e-07,0.0045,1991,9,2000
3,raw,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.387,1226,774,2000
3,mitigated,ibm_marrakesh,222.3111111111111,0.41929495783179516,0.406,1188,812,2000
3,raw,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.96,80,1920,2000
3,mitigated,ibm_marrakesh,444.52222222222224,0.9713655199330452,0.948,104,1896,2000
3,raw,ibm_marrakesh,666.7333333333333,0.7277142223772172,0.6965,607,1393,2000
